US_ID,ayesha@recidiviz.org,XXXXXXXX,D4,Ayesha,Khawaja,"Qeo/aoA+TDB3U5J3UpFfQlvNPhNMYvgKdhLksNqai28=",2023-03-22,2023-03-22,pseudo-XXXXXXXX,{supervision_leadership}
US_TN,test@recidiviz.org,Y28U1092,District_Office_12,Test,Sample,"WP/YPndlvZ49y006IOlzo40CSXH6LO6E9J5P84Goag4=",2023-03-22,2023-03-22,pseudo-Y28U1092,{supervision_line_staff}
US_ND,noexternalid@recidiviz.org,,DISTRICT_OFFICE_1,John,Doe,"NKLv+Or7WTrNHLQ01wAELhuIXGALlgHFI31EpiDa1vs=",2023-03-22,2023-03-22,,{supervision_leadership}
US_MI,nofirstname@recidiviz.org,1372ajk23,10,,Smith,"AEBA5C5bGvAtp1876tpR3aMN0zjWZkpLbbCbZPqC0Lc=",2023-03-22,2023-03-22,,{facilities_leadership}
US_TN,nolastname@recidiviz.org,external,4,Jane,,"uEFiO3ae1hgEenYYWAk48NnCJ2/p+5BqJVTDRBMqVrU=",2023-03-22,2023-03-22,,{supervision_line_staff}
US_MO,nodistrict@recidiviz.org,NDISTRICT,,First,Last,"xzSMmHGIPKEAYbUa8jLCYIJ2Y0AI1dihPIUPGcZNcE8=",2023-03-22,2023-03-22,,{supervision_officer_supervisor}
US_CO,jane@testdomain.com,,,Jane,Doe,"hHzvOw+i5Lf0/NKtZiqUWk9JQhl9HVXJnOqPtVPCnHQ=",2023-03-22,2023-03-22,,{facilities_leadership}
US_MO,missouri@recidiviz.org,54321,"1A, 2B",Hello,World,"Ag8rwyV8+b2t/NeqNRhX8TiVA4KLZQryd5kJvJ04wck=",2023-03-22,2023-03-22,,{supervision_line_staff}
US_CO,bug_testing@recidiviz.org,,,,,"qOTZXez4ieGnc0X5n31e6SioaNM8GTOcIkzxbwRl4Xc=",2023-03-22,2023-03-22,,{facilities_leadership}
US_TN,jii_staff@recidiviz.org,someExternalId,FACILITY_12,Bobby,Mountain,"uEFiO3ae1hgEenYYWAk48NnCJ2/p+5BqJVTDRBMqVrU=",2023-03-22,2023-03-22,pseudo-uEFi,{facility_line_staff}
